CON,HOME_COUNTY
DUBLIN NORTH-WEST,DUBLIN
CAVAN-MONAGHAN,"CAVAN,MONAGHAN"
SLIGO-LEITRIM,"SLIGO,LEITRIM"
CLARE,CLARE
MEATH WEST,MEATH
DUBLIN WEST,DUBLIN
LAOIS-OFFALY,"LAOIS,OFFALY"
DUBLIN SOUTH-WEST,DUBLIN
TIPPERARY,TIPPERARY
CARLOW-KILKENNY,"CARLOW,KILKENNY"
LONGFORD-WESTMEATH,"LONGFORD,WESTMEATH"
GALWAY WEST,GALWAY
WEXFORD,WEXFORD
GALWAY EAST,GALWAY
CORK EAST,CORK
KERRY,KERRY
CORK SOUTH-WEST,CORK
CORK NORTH-WEST,CORK
MAYO,MAYO
WICKLOW,WICKLOW
CORK NORTH-CENTRAL,CORK
WATERFORD,WATERFORD
CORK SOUTH-CENTRAL,CORK
DONEGAL,DONEGAL
MEATH EAST,MEATH
DUBLIN FINGAL,DUBLIN
DUBLIN BAY SOUTH,DUBLIN
LIMERICK CITY,LIMERICK
ROSCOMMON-GALWAY,"ROSCOMMON,GALWAY"
DÃšN LAOGHAIRE,DUBLIN
LIMERICK COUNTY,LIMERICK
DUBLIN SOUTH-CENTRAL,DUBLIN
KILDARE NORTH,KILDARE
DUBLIN BAY NORTH,DUBLIN
DUBLIN CENTRAL,DUBLIN
DUBLIN RATHDOWN,DUBLIN
KILDARE SOUTH,KILDARE
LOUTH,LOUTH
DUBLIN MID-WEST,DUBLIN
